14,11,鳴門,通常,BET,800,"[{""combo"": ""1-3-4"", ""odds"": 10.6, ""prob"": 0.038533671263576916, ""amount"": 200}, {""combo"": ""1-4-3"", ""odds"": 16.5, ""prob"": 0.03503594062610463, ""amount"": 200}, {""combo"": ""1-3-6"", ""odds"": 16.5, ""prob"": 0.033622061284114386, ""amount"": 200}, {""combo"": ""1-6-3"", ""odds"": 38.2, ""prob"": 0.029440132182535928, ""amount"": 100}, {""combo"": ""3-1-4"", ""odds"": 31.1, ""prob"": 0.029012760542527747, ""amount"": 100}]",,13:32:49
23,7,唐津,混戦,BET,800,"[{""combo"": ""1-3-2"", ""odds"": 24.8, ""prob"": 0.025918162296191392, ""amount"": 200}, {""combo"": ""1-2-3"", ""odds"": 17.0, ""prob"": 0.024992073154329022, ""amount"": 200}, {""combo"": ""3-1-2"", ""odds"": 45.2, ""prob"": 0.02454915581782896, ""amount"": 200}, {""combo"": ""2-1-3"", ""odds"": 22.6, ""prob"": 0.023091737408618054, ""amount"": 100}, {""combo"": ""3-2-1"", ""odds"": 64.6, ""prob"": 0.02201820742519213, ""amount"": 100}]",,13:37:06
8,8,常滑,混戦,LOOK,0,[],混戦で展示差=0.060<0.08,13:40:06
10,11,三国,通常,LOOK,0,[],通常だがGap=0.49<0.6(隠れ混戦),13:42:06
17,8,宮島,混戦,LOOK,0,[],混戦で1枠逃げ率=0.11<0.15,13:47:06
4,7,平和島,本命崩れ,BET,700,"[{""combo"": ""3-1-4"", ""odds"": 7.6, ""prob"": 0.0640692170954857, ""amount"": 200}, {""combo"": ""3-1-5"", ""odds"": 20.8, ""prob"": 0.06011617956594774, ""amount"": 200}, {""combo"": ""3-1-2"", ""odds"": 22.4, ""prob"": 0.049919365620529135, ""amount"": 100}, {""combo"": ""1-3-4"", ""odds"": 9.7, ""prob"": 0.04615412615907379, ""amount"": 100}, {""combo"": ""1-3-5"", ""odds"": 28.1, ""prob"": 0.04330644046661503, ""amount"": 100}]",,13:48:06
3,7,江戸川,通常,BET,800,"[{""combo"": ""1-2-5"", ""odds"": 14.7, ""prob"": 0.05510675527001567, ""amount"": 200}, {""combo"": ""1-2-4"", ""odds"": 18.4, ""prob"": 0.047206061635458894, ""amount"": 200}, {""combo"": ""1-2-6"", ""odds"": 15.2, ""prob"": 0.04694526313287719, ""amount"": 200}, {""combo"": ""1-5-2"", ""odds"": 43.6, ""prob"": 0.04177320938402169, ""amount"": 100}, {""combo"": ""1-2-3"", ""odds"": 13.0, ""prob"": 0.040706277090558934, ""amount"": 100}]",,13:49:06
13,8,尼崎,通常,BET,700,"[{""combo"": ""1-3-5"", ""odds"": 41.0, ""prob"": 0.035030594765471046, ""amount"": 200}, {""combo"": ""1-3-2"", ""odds"": 22.6, ""prob"": 0.03464199989826101, ""amount"": 200}, {""combo"": ""1-3-4"", ""odds"": 20.4, ""prob"": 0.03255063301110382, ""amount"": 100}, {""combo"": ""1-5-3"", ""odds"": 65.9, ""prob"": 0.031102042512523194, ""amount"": 100}, {""combo"": ""1-2-3"", ""odds"": 13.0, ""prob"": 0.030670991794419514, ""amount"": 100}]",,14:00:06
14,12,鳴門,通常,BET,700,"[{""combo"": ""1-4-3"", ""odds"": 19.2, ""prob"": 0.07812222823203291, ""amount"": 200}, {""combo"": ""1-3-4"", ""odds"": 6.8, ""prob"": 0.07620483814610408, ""amount"": 200}, {""combo"": ""4-1-3"", ""odds"": 74.0, ""prob"": 0.04561131272343364, ""amount"": 100}, {""combo"": ""1-4-2"", ""odds"": 29.7, ""prob"": 0.04516080789775743, ""amount"": 100}, {""combo"": ""3-1-4"", ""odds"": 26.2, ""prob"": 0.04405761251855503, ""amount"": 100}]",,14:06:06
8,9,常滑,通常,LOOK,0,[],通常だがGap=0.29<0.6(隠れ混戦),14:10:06
23,8,唐津,通常,BET,700,"[{""combo"": ""1-4-3"", ""odds"": 17.0, ""prob"": 0.0692113257936145, ""amount"": 200}, {""combo"": ""1-4-2"", ""odds"": 12.5, ""prob"": 0.06704335614632749, ""amount"": 200}, {""combo"": ""1-4-5"", ""odds"": 14.6, ""prob"": 0.052710491570598185, ""amount"": 100}, {""combo"": ""1-3-4"", ""odds"": 25.4, ""prob"": 0.05068575760776934, ""amount"": 100}, {""combo"": ""1-2-4"", ""odds"": 17.5, ""prob"": 0.04875731684847137, ""amount"": 100}]",,14:12:06
3,8,江戸川,通常,BET,800,"[{""combo"": ""1-2-3"", ""odds"": 6.4, ""prob"": 0.06701198643869695, ""amount"": 200}, {""combo"": ""1-3-2"", ""odds"": 14.3, ""prob"": 0.056976292672263576, ""amount"": 200}, {""combo"": ""1-2-4"", ""odds"": 17.2, ""prob"": 0.05537019792734706, ""amount"": 200}, {""combo"": ""1-4-2"", ""odds"": 23.8, ""prob"": 0.04459865524571549, ""amount"": 100}, {""combo"": ""2-1-3"", ""odds"": 12.2, ""prob"": 0.040726314222092344, ""amount"": 100}]",,14:17:06
4,8,平和島,通常,BET,800,"[{""combo"": ""1-4-3"", ""odds"": 9.1, ""prob"": 0.11168227957080085, ""amount"": 200}, {""combo"": ""1-3-4"", ""odds"": 15.8, ""prob"": 0.0838052128685231, ""amount"": 200}, {""combo"": ""1-4-5"", ""odds"": 10.5, ""prob"": 0.07746707833536975, ""amount"": 200}, {""combo"": ""1-4-2"", ""odds"": 13.6, ""prob"": 0.05328543612685419, ""amount"": 100}, {""combo"": ""1-5-4"", ""odds"": 29.6, ""prob"": 0.053097839563375195, ""amount"": 100}]",,14:19:06
17,9,宮島,混戦,BET,700,"[{""combo"": ""1-2-4"", ""odds"": 9.7, ""prob"": 0.03583728981163094, ""amount"": 200}, {""combo"": ""1-4-2"", ""odds"": 20.3, ""prob"": 0.03458103543409056, ""amount"": 200}, {""combo"": ""2-1-4"", ""odds"": 10.1, ""prob"": 0.03247486825238803, ""amount"": 100}, {""combo"": ""1-2-3"", ""odds"": 11.0, ""prob"": 0.03239182143708125, ""amount"": 100}, {""combo"": ""4-1-2"", ""odds"": 28.6, ""prob"": 0.030636193106363438, ""amount"": 100}]",,14:21:06
10,12,三国,通常,BET,700,"[{""combo"": ""1-2-3"", ""odds"": 6.3, ""prob"": 0.08397565981771107, ""amount"": 200}, {""combo"": ""1-2-5"", ""odds"": 7.0, ""prob"": 0.08185316675276415, ""amount"": 200}, {""combo"": ""1-2-4"", ""odds"": 7.8, ""prob"": 0.06271320257008826, ""amount"": 100}, {""combo"": ""1-3-2"", ""odds"": 15.9, ""prob"": 0.06212642116888241, ""amount"": 100}, {""combo"": ""1-2-6"", ""odds"": 19.0, ""prob"": 0.06200791218430243, ""amount"": 100}]",,14:23:05
13,9,尼崎,ガチガチ,LOOK,0,[],ガチガチ(控除率負け),14:34:05
8,10,常滑,通常,BET,700,"[{""combo"": ""1-5-2"", ""odds"": 17.7, ""prob"": 0.04512250955075718, ""amount"": 200}, {""combo"": ""1-2-5"", ""odds"": 16.3, ""prob"": 0.043596683662322396, ""amount"": 200}, {""combo"": ""1-5-4"", ""odds"": 16.0, ""prob"": 0.04022268842580137, ""amount"": 100}, {""combo"": ""1-4-5"", ""odds"": 16.3, ""prob"": 0.037475479427236225, ""amount"": 100}, {""combo"": ""1-2-4"", ""odds"": 23.4, ""prob"": 0.03535504453371968, ""amount"": 100}]",,14:38:06
3,9,江戸川,通常,BET,700,"[{""combo"": ""1-4-2"", ""odds"": 10.1, ""prob"": 0.0652974684116403, ""amount"": 200}, {""combo"": ""1-2-4"", ""odds"": 8.1, ""prob"": 0.06020798351339918, ""amount"": 200}, {""combo"": ""4-1-2"", ""odds"": 22.7, ""prob"": 0.04302269297431143, ""amount"": 100}, {""combo"": ""1-4-6"", ""odds"": 28.0, ""prob"": 0.042655160664151835, ""amount"": 100}, {""combo"": ""2-1-4"", ""odds"": 13.7, ""prob"": 0.038254900965449375, ""amount"": 100}]",,14:45:05
23,9,唐津,通常,BET,700,"[{""combo"": ""1-3-4"", ""odds"": 25.0, ""prob"": 0.059974300451109436, ""amount"": 200}, {""combo"": ""1-4-3"", ""odds"": 26.7, ""prob"": 0.05593857515472639, ""amount"": 200}, {""combo"": ""3-1-4"", ""odds"": 70.8, ""prob"": 0.038411781100024224, ""amount"": 100}, {""combo"": ""4-1-3"", ""odds"": 76.0, ""prob"": 0.03473628757373715, ""amount"": 100}, {""combo"": ""1-3-5"", ""odds"": 44.4, ""prob"": 0.0332628495356869, ""amount"": 100}]",,14:47:05
4,9,平和島,本命崩れ,BET,800,"[{""combo"": ""1-5-2"", ""odds"": 25.9, ""prob"": 0.028780181436225342, ""amount"": 200}, {""combo"": ""1-5-3"", ""odds"": 13.6, ""prob"": 0.028385175109408856, ""amount"": 200}, {""combo"": ""1-2-5"", ""odds"": 18.9, ""prob"": 0.027498305089093077, ""amount"": 200}, {""combo"": ""1-3-5"", ""odds"": 10.2, ""prob"": 0.02701683978384338, ""amount"": 100}, {""combo"": ""1-2-3"", ""odds"": 16.6, ""prob"": 0.023405812048155946, ""amount"": 100}]",,14:51:05
17,10,宮島,通常,BET,800,"[{""combo"": ""3-5-1"", ""odds"": 5.0, ""prob"": 0.10487596040930701, ""amount"": 300}, {""combo"": ""3-1-5"", ""odds"": 5.3, ""prob"": 0.08181495764076414, ""amount"": 200}, {""combo"": ""3-5-4"", ""odds"": 18.5, ""prob"": 0.05586557297691517, ""amount"": 100}, {""combo"": ""3-5-6"", ""odds"": 10.9, ""prob"": 0.05076835982261652, ""amount"": 100}, {""combo"": ""5-3-1"", ""odds"": 21.1, ""prob"": 0.04744427584346523, ""amount"": 100}]",,14:56:06
3,11,江戸川,通常,BET,800,"[{""combo"": ""1-3-4"", ""odds"": 7.2, ""prob"": 0.06036523008037185, ""amount"": 200}, {""combo"": ""1-3-5"", ""odds"": 24.7, ""prob"": 0.05674702762077711, ""amount"": 200}, {""combo"": ""1-4-3"", ""odds"": 22.3, ""prob"": 0.053887612987872945, ""amount"": 200}, {""combo"": ""1-5-3"", ""odds"": 118.3, ""prob"": 0.04973974598670964, ""amount"": 100}, {""combo"": ""1-4-5"", ""odds"": 74.1, ""prob"": 0.03756529567475828, ""amount"": 100}]",,15:47:32
13,11,尼崎,ガチガチ,LOOK,0,[],ガチガチ(控除率負け),15:48:06
8,12,常滑,通常,BET,800,"[{""combo"": ""1-3-4"", ""odds"": 10.4, ""prob"": 0.059788557940005024, ""amount"": 200}, {""combo"": ""1-3-6"", ""odds"": 10.1, ""prob"": 0.05699618318085239, ""amount"": 200}, {""combo"": ""1-4-3"", ""odds"": 18.0, ""prob"": 0.05626331943741511, ""amount"": 200}, {""combo"": ""1-6-3"", ""odds"": 24.5, ""prob"": 0.05282133338703908, ""amount"": 100}, {""combo"": ""1-4-6"", ""odds"": 19.7, ""prob"": 0.04550639215682368, ""amount"": 100}]",,15:53:07
